Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
The Morrison & Foerster Foundation,,425 Market St Fl 32,,San Francisco,CA,94105-2482,United States,415-268-7000,,Foundation@mofo.com,http://WWW.MOFO.COM/CULTURE/MOFO-FOUNDATION/,3535965,4437983,1928027,111,0
H & S Foundation Co Harriet Nichols,,PO Box 6526,,Malibu,CA,90264-6526,United States,310-589-6054,,,,896173,637600,1925406,68,0
Ernest Prete Jr Foundation,,16530 Ventura Blvd Ste 306,,Encino,CA,91436-4595,United States,,,,,6785021,216038,1924812,35,0
Janssen Lagorio Foundation,,777 N Pershing Ave Ste 1a,,Stockton,CA,95203-2153,United States,209-982-0734,,,,122405,34000,1922007,25,0
Erik E and Edith H Bergstrom Foundation a Charitable Trust,,PO Box 520,,Palo Alto,CA,94302-0520,United States,650-323-0596,,,,256021047,9606583,1917520,14,0
The Prem & Sandhya Jain Family Foundation Inc,,801 E Charleston Rd,,Palo Alto,CA,94303-4610,United States,510-770-0503,,,,4857407,339605,1917000,18,0
The Roger I & Ruth B Macfarlane Fndn C/o Bank of America Private Bank,Alex Macfarlane,333 S Hope St Fl 23,,Los Angeles,CA,90071-1496,United States,213-861-5183,,alex@macfarlanefoundation.org,http://www.macfarlanefoundation.org,39435471,1375000,1915000,18,0
Mann Medical Research Organization,,601 S Brand Blvd Ste 203,,San Fernando,CA,91340-4951,United States,818-833-5309,,,,46840023,1247500,1915000,4,0
Cristo Rey De La Salle East Bay Work Study Program,,1530 34th Ave,,Oakland,CA,94601-3024,United States,510-532-8947,,,http://CRISTOREYDELASALLE.ORG ,394375,1914632,1914632,1,0
The Molina Family Foundation,,1311 Chelten Way,,South Pasadena,CA,91030-3911,United States,562-221-5615,,,http://WWW.GUIDESTAR.ORG ,41088051,2023334,1914000,29,0
Loma Linda University Pathology Medical Group Inc,,PO Box 1740,,Loma Linda,CA,92354-0240,United States,909-558-5170,,,,7530731,,1913300,7,0
Chia Family Foundation Inc,,430 Via Lido Nord,,Newport Beach,CA,92663-4927,United States,561-775-1272,,,,16396818,993150,1912552,13,0
The Edward C Allred Foundation for the Support of Private Education,,4961 Katella Ave,,Cypress,CA,90720-2721,United States,714-820-2810,,,,4799,53145,1912417,3,0
Oak Tree Charitable Foundation,,201 Colorado Pl,,Arcadia,CA,91007-2604,United States,626-784-4804,,,,7453894,315000,1912383,85,0
Sd Trombetta Foundation,,23428 Summit Rd,,Los Gatos,CA,95033-9203,United States,4083533931,,,,3068462,985000,1911000,20,0
Drollinger Family Charitable Foundation,,8929 S Sepulveda Blvd Ste 130,,Los Angeles,CA,90045-3616,United States,310-417-8048,,,,21243664,1209775,1910690,11,0
Richard Behrens Eaton Trust 71270600,,PO Box 1220,,Palo Cedro,CA,96073-1220,United States,530-547-3450,,,,5892105,179460,1910672,9,0
Douglas E & Nancy J Barnhart Charitable Foundation,,10805 Thornmint Rd,,San Diego,CA,92127-2429,United States,858-592-6500,,,,721232,185600,1910625,19,0
J Crivello Foundation,,3404 Kellogg Way,,San Diego,CA,92106-3302,United States,6192233404,,,,2715021,135000,1909758,13,0
Jewish Federation of Silicon Valley,,14855 Oka Rd Ste 200,,Los Gatos,CA,95032-1956,United States,4083583033,(408) 356-0733,info@jvalley.org,http://www.jvalley.org,31122456,3340072,1905810,32,0
Miranda Lux Foundation,,PO Box 6106,,San Rafael,CA,94903-0106,United States,415-981-2966,,admin@mirandalux.org,http://WWW.MIRANDALUX.ORG,12591953,518500,1905610,154,0
The Leslie and Susan Gonda (goldschmied),,21031 Ventura Blvd Ste 1100,,Woodland Hills,CA,91364-6519,United States,310-271-1990,,,,17121443,600214,1904738,11,0
The Kling Family Foundation,,335 Centennial Way Ste 100,,Tustin,CA,92780-3756,United States,949-533-0300,,,,822532,2293500,1902850,163,0
Delta Dental of California,,560 Mission St Ste 1300,,San Francisco,CA,94105-0938,United States,415-972-8300,,,http://WWW.DELTADENTALINS.COM,4003642847,22617650,1902580,66,0
Alexander and Eva Nemeth Foundation Inc,,100 E San Marcos Blvd,,San Marcos,CA,92069-2986,United States,760-593-1116,,info@thenemethfoundation.org,https://thenemethfoundation.org/,114705,844136,1901242,12,0
H2h8,,168 W Portola Ave,,Los Altos,CA,94022-1251,United States,650-450-2056,,,http://h2h8.com,2385491,575676,1900414,4,0
Los Angeles Unified School District Education Foundation,,333 S Beaudry Ave Fl 24,,Los Angeles,CA,90017-5107,United States,213-241-4280,,,,2470887,458972,1894559,8,0
Dan & Lillian King Foundation,,449 Alvarado St,,Monterey,CA,93940-2720,United States,831-594-9711,,,,1214536,,1893403,12,0
Epstein-Roth Foundation,,618 Santa Barbara Rd,,Berkeley,CA,94707-1718,United States,510-207-5945,,,,3877397,295000,1891900,45,0
Asian Pacific Fund,"Carolyn Wang Kong, President & Executive Director; Gurpreet Tung, Development Director",345 California St Ste 700,,San Francisco,CA,94104-9711,United States,415-395-9985,415-986-2040,info@asianpacificfund.org,http://www.asianpacificfund.org,24282548,1760536,1891284,71,0
Nutrition Science Initiative C/o Helena Stage CPA,"Gary Taubes, Chairman/Ceo/President; Lacey Stenson, Senior Director Of Finance And Operations",1211 Golden Gate Dr,,San Diego,CA,92116-1015,United States,858-914-5400,858-914-5373,lacey@nusi.org,http://WWW.NUSI.ORG,92568,10000,1890342,6,0
Educational Employees Credit Union,,2222 W Shaw Ave,,Fresno,CA,93711-3419,United States,559-437-7731,,,http://WWW.MYEECU.ORG,4647760922,719025,1884668,130,0
Terra Family Foundation,,144 Tomlinson Dr,,Folsom,CA,95630-7401,United States,9169885870,,,,9873875,447700,1884200,51,0
Portal School Community Organization,Olga Fedorova,1188 Wunderlich Dr,,San Jose,CA,95129-3163,United States,408-973-8191,,psco.vicetreasurer@gmail.com,http://MURDOCKPORTAL.CUSDK8.ORG/PARENT-ORGANIZATION,652922,405134,1882228,6,0
Amy Phillips Charitable Foundation,,2716 Bagley Ave,,Los Angeles,CA,90034-1804,United States,3105595824,,,,8117727,315000,1875800,36,0
University Student Union California State University Northridge,,18111 Nordhoff St,,Northridge,CA,91330-8272,United States,818-677-2491,,,http://WWW.CSUN.EDU/USU,11277530,211732,1875628,6,0
Launchpad Development Company,,2001 Gateway Pl Ste 230e,,San Jose,CA,95110-3719,United States,877-806-0920,,,http://www.launchpad-dev.org,268472972,,1875279,3,0
Western Health Advantage,,2349 Gateway Oaks Dr Ste 100,,Sacramento,CA,95833-4244,United States,916-563-3188,,,http://WWW.WESTERNHEALTH.COM,103396609,1103253,1874519,61,0
Llww Foundation,,177 E Colorado Blvd Ste 800,,Pasadena,CA,91105-1982,United States,626-441-5111,(626) 441-3672,,,32686616,939501,1870300,73,0
Los Angeles Jewish Fund C/o Fenigstein & Kaufman,,1900 Avenue of The Stars Ste 2300,,Los Angeles,CA,90067-4504,United States,310-201-0777,,,,,,1868504,100,0
The Rice Family Foundation,,3154 Old Heather Rd,,San Diego,CA,92111-7714,United States,858-256-0551,,,,9595261,387327,1864730,203,0
Ross School Parent Teacher Organization,,PO Box 512,,Ross,CA,94957-0512,United States,415-408-1004,,,http://WWW.ROSSBEARS.ORG,315233,353121,1863512,8,0
Bialis Family Foundation,,2121 Avenue of The Stars Ste 2200,,Los Angeles,CA,90067-5046,United States,805-451-0231,,,,,4218571,1861339,113,0
Yang Family Foundation,,2969 Woodside Rd,,Woodside,CA,94062-2443,United States,6508458100,,,,78906,434000,1859500,28,0
ASIAN & PACIFIC ISLANDER AMERICAN HEALTH FORUM,"Emily Wasek; Emily Wasek, Development Manager",461 Bush St Ste 400,,San Francisco,CA,94108-3722,United States,415-954-9988,(510) 419-0263,development@apiahf.org,http://www.apiahf.org,20095812,2809931,1858312,31,0
Career Technical Education Foundation Sonoma County,"Andriana Duckworth, Director Of Development & Marketing; Kathy Goodacre",1030 Apollo Way Ste 200,,Santa Rosa,CA,95407-6700,United States,707-708-7080,,kgoodacre@ctesonomacounty.org,http://www.ctesonomacounty.org,1350385,398508,1855161,44,0
The Mel and Grace Mclean Foundation,"Erin Cooper, Program Coordinator; Jennifer Brown, Program And Outreach Manager",3000 Newburg Rd,,Fortuna,CA,95540-2555,United States,707-725-1722,(416) 964-2804,leigh@mcleanfoundation.org,https://mcleanfoundation.org/,32187198,1724903,1854091,95,0
Teichert Foundation,,3500 American River Dr,,Sacramento,CA,95864-5802,United States,916-484-3011,,ebegay@teichertfoundation.org,http://www.teichert.com/teichert-foundation/,20512192,430605,1853875,342,0
Doelger Charitable Trust,,950 John Daly Blvd Ste 300,,Daly City,CA,94015-3004,United States,650-755-2333,,,,13161707,566703,1850997,26,0
Cabrillo Education Foundation,"Corrine Bucher, Executive Director",700 Mill St Ste 8,,Half Moon Bay,CA,94019-1781,United States,650-286-7811,650-,corrineb.cef@gmail.com,http://www.ceffund.org,3348534,223838,1850210,24,0
Connected the National Center for College and Career,,2150 Shattuck Ave Ste 750,,Berkeley,CA,94704-1365,United States,510-849-4945,,info@connectedcalifornia.org,http://WWW.CONNECTEDNATIONAL.ORG,3136321,20000,1849500,12,0
Monarch School Project,"Carter Anderson, Director Of Development",1625 Newton Ave,,San Diego,CA,92113-1012,United States,619-652-4100,619-652-4103,info@monarchschools.org,https://www.monarchschools.org,9982971,95156,1849110,5,0
Hager Foundation,,8222 Melrose Ave Ste 202,,Los Angeles,CA,90046-6838,United States,323-653-2000,,,,17666003,679000,1849060,60,0
National Center for Youth Law,"Mike Hogan, Senior Philanthropy Director; Shakti Belway, Executive Director",1212 Broadway Ste 600,,Oakland,CA,94612-1866,United States,510-835-8098,510-835-8099,shaktibelway@youthlaw.org,http://www.youthlaw.org,25256809,1101009,1847281,35,0
Turning Point Community Programs,,10850 Gold Center Dr Ste 325,,Rancho Cordova,CA,95670-6177,United States,916-364-8395,,,http://WWW.TPCP.ORG,46113398,1126953,1846579,20,0
Dumont Foundation,,4204 Harbour Island Ln,,Oxnard,CA,93035-2900,United States,805-984-2551,,,,1478516,75000,1845000,25,0
C & R Newman Family Foundation,,16633 Ventura Blvd Ste 1320,,Encino,CA,91436-1875,United States,310-394-8519,,,,6720504,579145,1843925,141,0
Satellite Healthcare Inc,,860 Hillview Ct Ste 250,,Milpitas,CA,95035-4571,United States,650-404-3600,(650) 404-3601,info@satellitehealth.com,http://WWW.SATELLITEHEALTH.COM,390135239,291520,1843210,20,0
The Shanbrom Fam Foundation C/o William J Shanbrom,,603 W Ojai Ave Ste A,,Ojai,CA,93023-3732,United States,805-208-5722,,,,24768421,1075000,1840975,103,0
Gene Haas Foundation,,2800 Sturgis Rd,,Oxnard,CA,93030-8901,United States,805-278-1800,,info@ghaasfoundation.org,http://WWW.GHAASFOUNDATION.ORG,805519878,27505702,1838826,86,0
The William C Bannerman Foundation,,9255 W Sunset Blvd Ste 400,,West Hollywood,CA,90069-3302,United States,310-273-9933,,,,10874641,430000,1838200,169,0
Warren and Elaine Breslow Family Foundation,,1925 Century Park E Fl 16,,Los Angeles,CA,90067-2701,United States,310-204-2050,,,,11946502,638610,1836525,114,0
Monarch School 1625 LLC,,1625 Newton Ave,,San Diego,CA,92113-1012,United States,619-652-4129,,kfield@monarchschools.org,http://WWW.MONARCHSCHOOLS.ORG,17912605,1179246,1836040,5,0
Galen Family Foundation,,37791 Halper Lake Dr,,Rancho Mirage,CA,92270-2571,United States,310-476-3744,,,,1499648,678560,1831001,124,0
Brutten Family Foundation,,120 S Sierra Ave,,Solana Beach,CA,92075-1873,United States,858-625-4100,,,http://WWW.BRUTTENGLOBAL.COM/PHILANTH,457004,248903,1828404,50,0
Phileoever Foundation,,637 Arrowhead Dr,,San Jose,CA,95123-4702,United States,408-489-9383,,,,273761,115030,1827000,18,0
Si Robin Foundation,,6009 Little Oak Ln,,Woodland Hills,CA,91367-1012,United States,8187371090,,,,6671220,1795508,1826866,27,0
KOREAN AMERICAN COMMUNITY FOUNDATION OF SAN FRANCISCO,"Drew Paik, Executive Director",3031 Tisch Way,,San Jose,CA,95128-2541,United States,650-656-5705,,drew@kacfsf.org,https://kacfsf.org,2913898,395000,1820656,40,0
Flourish Arbonne Foundation,"Kaeli Carrera, Director",21 Technology Dr,,Irvine,CA,92618-2335,United States,800-272-6663,,kcarrera@arbonne.com,http://www.arbonnefoundation.org,1119678,372754,25500,6,0
Edward Mittelman Memorial Foundation,,13812 Mercado Dr,,Del Mar,CA,92014-3125,United States,858-824-5484,,,,55706,20500,25500,4,0
Community Partners International,"Kalsang Tashi, Director Of Strategic Parterships",580 California St Fl 16,,San Francisco,CA,94104-1068,United States,510-225-9676,,info@cpintl.org,https://cpintl.org,16740530,22490281,25500,2,0
Kathail Family Foundation,,221 Main St Unit 1267,,Los Altos,CA,94023-9033,United States,408-839-4061,,,,641786,60508,25500,2,0
Dan Hebert Camp Hope Inc,,1640 Ainsdale Dr,,Roseville,CA,95747-5838,United States,916-580-9168,,,http://WWW.CAMPHOPECA.COM,417180,99187,25500,1,0
Arthur L Coggins Research Foundation Inc,,PO Box 2490,,Shasta,CA,96087-2490,United States,5305154671,,,,73603,,25484,9,0
Opportunity Trade School,,1930 Duckhorn Ln,,Lincoln,CA,95648-8688,United States,916-434-6113,,,,,25417,25417,2,0
Tree of Love Foundation Inc Co Jacob Rastegar,,808 N Bedford Dr,,Beverly Hills,CA,90210-3024,United States,310-710-9721,,,http://www.treeoflovefoundation.org,62904,52510,25376,7,0
PTA California Congress of Parents Teachers & Students Inc,,277 Karen Way Ste A,,Belvedere Tiburon,CA,94920-2095,United States,415-383-1116,,,http://WWW.REEDSCHOOLS.ORG/DOMAIN/103,340155,,25361,1,0
Miao Family Foundation,,13865 Yerba Santa Ct,,Saratoga,CA,95070-5149,United States,4253373095,,,,3809512,250000,25345,9,0
The Greenelight Foundation,,3300 Winona Ave,,Burbank,CA,91504-2507,United States,818-972-2772,,,http://GREENELIGHTFOUNDATION.ORG,596004,21000,25300,11,0
Feng Qian & Beibei Zou Family Foundation,,14090 Tracy Ct,,Los Altos Hills,CA,94022-1814,United States,408-821-2685,,,,370482,,25300,6,0
California Turtle & Tortoise Club,,PO Box 2371,,San Bernardino,CA,92406-2371,United States,661-599-8425,,,HTTPS://TORTOISE.ORG,1916864,77950,25295,4,0
The Charles Wei-Hsun Fu Foundation,,10869 Wallingford Rd,,San Diego,CA,92126-2560,United States,858-566-1383,,,http://www.charleswei-hsunfufoundatio,3132,16332,25282,11,0
First Team Real Estate Foundation,,4 Corporate Plaza Dr Ste 100,,Newport Beach,CA,92660-7906,United States,949-998-3130,,,,630301,37000,25250,5,0
Yocom Family Foundation,,3299 Horseless Carriage Dr Ste H,,Norco,CA,92860-3604,United States,951-284-3456,,,,2976129,100230,25230,1,0
Benefit Tomorrow,,1012 Tulipan Dr,,San Jose,CA,95129-3047,United States,,,,,485730,64125,25200,3,0
Anvil of Hope,Camille Segobia,9990 Alesmith Ct,,San Diego,CA,92126-4200,United States,858-768-0060,,camille@anvilofhope.org,http://ANVILLOFHOPE.ORG,33790,34893,25200,1,0
ST FRANCIS CENTER OF REDWOOD CITY,,151 Buckingham Ave,,Redwood City,CA,94063-5317,United States,650-365-7829,650-3657829,kyoung@stfrancisrwc.org,http://www.stfrancisrwc.org,87974128,962435,25200,1,0
Yes on Measure J and Measure K,,455 Capitol Mall Ste 600,,Sacramento,CA,95814-4439,United States,916-442-7757,,,,,25105,25105,1,0
Khyentse Foundation,,PO Box 156648,,San Francisco,CA,94115-6648,United States,707-892-1919,,,http://WWW.KHYENTSEFOUNDATION.ORG,51581005,7765582,25100,2,0
NORTH COAST OPPORTUNITIES INC,"Menaka Olson, Communications And Administrative Programs Manager; Viridiana Rodriguez-Garcia",413 N State St,,Ukiah,CA,95482-4421,United States,707-467,707-462-4862,vrodriguezgarcia@ncoinc.org,http://www.ncoinc.org,17421344,683211,25055,2,0
Ima Foundation,,1801 Century Park W Fl 5,,Los Angeles,CA,90067-6408,United States,3162679221,(316) 266-6254,foundation@imacorp.com,http://www.imafg.com/ima-foundation,4919974,585795,25020,5,0
Gag Charitable Corporation,,2240 Encinitas Blvd # D-325,,Encinitas,CA,92024-4345,United States,760-448-6333,,,,1947567,45050,25000,27,0
The Intuit Scholarship Foundation,,175 Fox Hollow Rd,,Woodside,CA,94062-3607,United States,650-529-9207,,,,,,25000,19,0
Sapphire Foundation Inc,,2335 E Colorado Blvd Ste 115-301,,Pasadena,CA,91107-6833,United States,626-408-2855,,,,593503,25800,25000,10,0
Joyce and William Brantman Foundation,,C/O Farella Braun 1 Bush Street 900,,San Francisco,CA,94104,United States,415-954-4400,,,,,26093,25000,9,0
Todd Family Foundation,,30 Camino Monte Sol,,Alamo,CA,94507-1422,United States,9259471320,,,,2985363,83000,25000,7,0
New Gold Mesquite Foundation Inc,,6502 E US Highway 78,,Brawley,CA,92227-9306,United States,928-341-4653,,,,,38000,25000,5,0
David E De Silva Family Foundation,,PO Box 2922,,Dublin,CA,94568-0922,United States,415-981-1400,,,,1468145,57000,25000,4,0
The Joe and Lisa Davis Family Foundation,,1418 Arbor Ct,,Encinitas,CA,92024-1841,United States,805-708-5472,,,http://WWW.GUIDESTAR.ORG,81687,20000,25000,4,0
Mission Produce Foundation,,2710 Camino Del Sol,,Oxnard,CA,93030-7967,United States,805-981-3650,,,,80845,92950,25000,4,0
Akian Foundation,,26235 Technology Dr,,Valencia,CA,91355-1147,United States,310-283-1111,,,,3655334,405000,25000,3,0
The Bernice M Hemphill Charitable Trust,,275 Battery St Ste 1600,,San Francisco,CA,94111-3370,United States,415-288-9800,,,,,2177548,25000,3,0
Dragonwolf Foundation Inc,,8040 Golden Eagle Way,,Pleasanton,CA,94588-3119,United States,925-485-9572,,,,,5067,25000,3,0
Forum of Christian Business Leaders Inc,,3515 Seabreeze Ln,,Corona Del Mar,CA,92625-1646,United States,949-278-5247,,,,40203,,25000,3,0
Ruth Reinhard Fletcher Charitable Foundation,,PO Box 5368,,San Jose,CA,95150-5368,United States,415-343-3224,,,,4631937,271471,25000,3,0
The Svane Family Foundation C/o Navolio & Tallman LLP,,2121 N California Blvd Ste 610,,Walnut Creek,CA,94596-3687,United States,415-956-1750,,,http://SVANEFF.ORG,37920271,375000,25000,3,0
Tiano Family Foundation,,5149 Mesquite Rd,,San Diego,CA,92115-1012,United States,(619) 582-8868,,,,251965,23000,25000,3,0
The Barella Family Foundation,,496 Jasmine Ln,,Petaluma,CA,94952-2009,United States,707-763-2891,,,,587469,24000,25000,2,0
Calcef Innovations,"Elizabeth  Andrews, Chief Development Officer; Elizabeth Andrews, Chief Development Officer",2150 Allston Way Ste 360,,Berkeley,CA,94704-1378,United States,415-957-0167,415-957-0167,elizabeth.andrews@newenergynexus.com,http://WWW.NEWENERGYNEXUS.COM,23001145,695033,25000,2,0
Downtown Burbank Partnership Inc,,150 N 3rd St,,Burbank,CA,91502-1264,United States,818-238-5170,,,http://WWW.DTNBUR.COM,525286,,25000,2,0
"Facebook, Inc. Contributions Program",,1601 Willow Rd,,Menlo Park,CA,94025-1452,United States,(650) 618-7714,,,,,,25000,2,0
Haven for Affordable Housing Inc,,15760 Ventura Blvd Ste 700,,Encino,CA,91436-3016,United States,818-290-7410,,,,4215293,15000,25000,2,0
Lf George Foundation Inc,,159 El Camino Real,,Millbrae,CA,94030-2605,United States,6506973800,,,,,,25000,2,0
Sutter Solano Charitable Foundation,"Alison Sadler, Vp Philanthropy Operations; Brett Moore, Sh Vp, Financial Plng/Analysis; Jodi Davis, Chief Philanthropy Officer-Sh; Patti Pilgrim, Cfo Absmc; Ronnie Yamanaka, Cfo Hospitals - Sdh/Ssmc/Sah",C/O Sh Tax 2200 River Plaza Dr,,SACRAMENTO,CA,95833,United States,916-286-6665,,,http://WWW.SUTTERHEALTH.ORG,,101924,25000,2,0
The Abrasba Foundation,,6505 Wilshire Blvd Ste 1200,,Los Angeles,CA,90048-4960,United States,323-761-8700,,,,20578385,1338392,25000,1,0
The Amanda Foundation,"Teri Austin, President",351 Foothill Rd,,Beverly Hills,CA,90210-3609,United States,310-550-0101,310-550-1664,amandafoundation@aol.com,http://www.amandafoundation.org,7358104,,25000,1,0
American Apollo Foundation,"Juan He, Treasurer & Secretary",2770 E Regal Park Dr,,Anaheim,CA,92806-2417,United States,949-771-5397,,hejuan201707@gmail.com,,,2000,25000,1,0
AUTISM RESEARCH INSTITUTE,"Denise Fulton, Chief Operating Officer; Laura Kanellos, Director Of Development",4182 Adams Ave,,San Diego,CA,92116-2536,United States,833-281-7165,833-281-7165,denise@autism.org,https://www.autism.org,4740780,504929,25000,1,0
Avenue Greenlight,,58 West Portal Ave,,San Francisco,CA,94127-1304,United States,415-716-3567,,,,621878,1541575,25000,1,0
Baker Kwon Family Foundation,,115 Via Artemesia,,San Clemente,CA,92672-3882,United States,206-999-7227,,,,2509965,50000,25000,1,0
Beckman Family Foundation,,887 Mitten Rd Fl 2,,Burlingame,CA,94010-1303,United States,415-508-9843,,,,20474,25000,25000,1,0
Bin Lin and Daisy Liu Family Foundation,,43244 Livermore Cmn,,Fremont,CA,94539-5762,United States,781-333-1841,,,,240642049,775000,25000,1,0
Boand Family Foundation,,Co Windes 2050 Main St 1300,,Irvine,CA,92683,United States,949-788-1717,,,,3185998,131298,25000,1,0
The Bruce Karatz Family Foundation,,355 S Grand Ave Ste 1710,,Los Angeles,CA,90071-1532,United States,213-683-8790,,,,,802350,25000,1,0
California Faculty Association,,1110 K St,,Sacramento,CA,95814-3905,United States,9164414848,,,,2000174,,25000,1,0
Chamber Music in Napa Valley,,4375 Atlas Peak Rd,,Napa,CA,94558-9318,United States,707-226-2190,,,http://www.chambermusicnapa.org,1339451,,25000,1,0
The Cheri Morgan Foundation,,Co 10474 Santa Monica Blvd 200,,LOS ANGELES,CA,90025,United States,310-268-2000,,,,1762,550,25000,1,0
